City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
220,Fiumicino,IT,49.98,broken clouds,41.7675,12.2291,
223,Ayagoz,KZ,33.17,few clouds,47.9714,80.4392,
225,Yeppoon,AU,71.38,clear sky,-23.1333,150.7333,
228,Christchurch,NZ,57.94,overcast clouds,-43.5333,172.6333,
229,La Baule-Escoublac,FR,47.71,clear sky,47.2922,-2.364,
230,Moron,AR,70.95,clear sky,-34.6534,-58.6198,
231,Saint-Philippe,RE,74.79,very heavy rain,-21.3585,55.7679,
232,Saint-Leu,RE,74.26,heavy intensity rain,-21.15,55.2833,
233,Nuuk,GL,38.01,broken clouds,64.1835,-51.7216,
234,Alhandra,BR,88.02,scattered clouds,-7.4386,-34.9144,
235,Nassjo,SE,36.52,scattered clouds,57.6531,14.6968,
236,Cerignola,IT,49.57,overcast clouds,41.264,15.9005,
237,Borskoye,RU,45.05,overcast clouds,53.0333,51.7167,
238,Perpignan,FR,45.73,few clouds,42.75,2.75,
239,Kaeo,NZ,59.32,overcast clouds,-35.1,173.7833,
240,Pisco,PE,70.02,clear sky,-13.7,-76.2167,
241,Puerto Escondido,MX,86.59,broken clouds,15.85,-97.0667,
242,Byron Bay,AU,67.89,scattered clouds,-28.65,153.6167,
243,Lebu,CL,59.88,overcast clouds,-37.6167,-73.65,
244,Sampit,ID,75.99,overcast clouds,-2.5333,112.95,
245,East London,ZA,63.54,broken clouds,-33.0153,27.9116,
247,Akhmeta,GE,63.12,broken clouds,42.0311,45.2075,
249,Bonavista,CA,37.67,overcast clouds,48.6499,-53.1147,
250,Marsa Matruh,EG,66.4,haze,31.3525,27.2453,
251,Marystown,CA,38.86,overcast clouds,47.1666,-55.1483,
252,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,
253,Dagua,CO,82.83,broken clouds,3.6569,-76.6886,
254,Svetlogorsk,BY,32.86,light snow,52.6333,29.7333,
255,Chumikan,RU,34.27,overcast clouds,54.7183,135.315,
257,Tuatapere,NZ,48.79,broken clouds,-46.1333,167.6833,
261,Cascais,PT,65.52,clear sky,38.6979,-9.4215,
262,Micoud,LC,84.13,broken clouds,13.8167,-60.9,
263,Iberia,US,74.97,clear sky,29.9502,-91.7507,
265,Muroto,JP,52.45,overcast clouds,33.2833,134.15,
266,Hoa Binh,VN,60.03,broken clouds,20.8133,105.3383,
268,Thinadhoo,MV,83.17,clear sky,0.5333,72.9333,
269,Battle Creek,US,43.05,clear sky,42.3212,-85.1797,
271,Wewak,PG,77.47,overcast clouds,-3.5534,143.6268,
272,Guayaramerin,BO,77.05,clear sky,-10.8368,-65.3614,
273,Aleksandrov Gay,RU,59.59,broken clouds,50.147,48.5704,
274,Cortes,ES,50.05,scattered clouds,41.9395,-1.4396,
275,Lata,PT,61.92,broken clouds,40.1629,-8.3327,
277,Pagangan,PH,73.33,overcast clouds,7.1144,124.5953,
278,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,
279,Hegang,CN,35.8,broken clouds,47.4,130.3667,
280,Saint-Francois,FR,35.67,light snow,46.4154,3.9054,
281,Noumea,NC,82.99,overcast clouds,-22.2763,166.4572,
282,Poya,NC,78.01,overcast clouds,-21.35,165.15,
283,Jorhat,IN,71.71,scattered clouds,26.75,94.2167,
284,Karratha,AU,82.8,broken clouds,-20.7377,116.8463,
285,Japura,ID,76.06,broken clouds,-0.3167,102.35,
289,Margate,GB,44.11,few clouds,51.3813,1.3862,
290,Chatrapur,IN,80.06,clear sky,19.35,84.9833,
291,Santa Cruz,BO,77.05,few clouds,-17.8,-63.1667,
292,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,
293,Lasa,IT,38.28,overcast clouds,46.6166,10.7002,
294,Mount Gambier,AU,53.51,broken clouds,-37.8333,140.7667,
296,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,
297,Nishihara,JP,63.68,overcast clouds,26.1842,127.7558,
298,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,
299,Ahipara,NZ,62.58,light rain,-35.1667,173.1667,
300,Mapimi,MX,77.67,clear sky,25.8167,-103.85,
301,Auki,SB,76.19,overcast clouds,-8.7676,160.7034,
302,Jiblah,YE,65.7,clear sky,13.9216,44.1467,
303,Gilroy,US,66.04,clear sky,37.0058,-121.5683,
304,Omboue,GA,76.32,overcast clouds,-1.5746,9.2618,
306,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,
307,Manta,EC,82.18,broken clouds,-0.95,-80.7333,
308,Dingle,PH,76.14,broken clouds,10.9995,122.6711,
309,Novosheshminsk,RU,35.74,overcast clouds,55.0651,51.2338,
310,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,
312,Iracoubo,GF,79.38,light rain,5.4802,-53.2011,
313,Ponta Delgada,PT,63.32,few clouds,37.7333,-25.6667,
314,Pacific Grove,US,54.41,mist,36.6177,-121.9166,
315,Kewanee,US,44.47,overcast clouds,41.2456,-89.9248,
316,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,
317,Tautira,PF,81.55,overcast clouds,-17.7333,-149.15,
319,Aitape,PG,77.83,overcast clouds,-3.1374,142.3475,
320,Beloha,MG,74.8,clear sky,-25.1667,45.05,
321,San Rafael,AR,74.79,clear sky,-34.6177,-68.3301,
322,Grand Gaube,MU,75.38,heavy intensity rain,-20.0064,57.6608,
323,Xiaoweizhai,CN,47.12,few clouds,26.1903,107.5125,
324,Phan Thiet,VN,77.56,overcast clouds,10.9333,108.1,
325,Laval,CA,42.91,few clouds,45.57,-73.692,
326,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,
327,Oranjestad,AW,87.75,few clouds,12.524,-70.027,
328,Korem,ET,60.51,clear sky,12.5058,39.5228,
329,Rio Bananal,BR,88.23,scattered clouds,-19.265,-40.3333,
330,Salto,UY,70.88,clear sky,-31.3833,-57.9667,
333,Fort Dodge,US,44.6,overcast clouds,42.4975,-94.168,
336,Morro Bay,US,60.15,scattered clouds,35.3658,-120.8499,
337,Almeirim,BR,83.41,broken clouds,-1.5233,-52.5817,
338,Kekri,IN,86.83,clear sky,25.9667,75.15,
340,Dubrovka,RU,31.53,light snow,53.6907,33.5071,
342,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,
343,Ntcheu,MW,65.19,light rain,-14.8203,34.6359,
344,Nisia Floresta,BR,85.01,broken clouds,-6.0911,-35.2086,
345,San Vicente,AR,74.75,scattered clouds,-26.6167,-54.1333,
346,Tezu,IN,69.01,broken clouds,27.9167,96.1667,
349,Shunyi,CN,52.95,clear sky,40.125,116.6453,
351,San Jeronimito,MX,83.93,overcast clouds,17.55,-101.3333,
352,Anatoli,GR,47.95,light rain,39.6389,20.8653,
353,Iwanai,JP,37.27,broken clouds,42.9744,140.5089,
355,Pangai,TO,81.05,broken clouds,-19.8,-174.35,
356,Miraflores,MX,75.87,broken clouds,19.2167,-98.8083,
359,Plettenberg Bay,ZA,61.52,light rain,-34.0527,23.3716,
360,Labuhan,ID,78.24,overcast clouds,-6.8844,112.2051,
361,Lorengau,PG,78.24,light rain,-2.0226,147.2712,
363,La Paz,BO,55.38,broken clouds,-16.5,-68.15,
364,Malinyi,TZ,74.5,light rain,-8.9333,36.1333,
365,Yuryevets,RU,30.67,snow,57.3201,43.1041,
366,Jangipur,IN,83.41,few clouds,24.4667,88.0667,
369,Marawi,PH,68.5,moderate rain,7.9986,124.2928,
370,Souillac,MU,73.78,heavy intensity rain,-20.5167,57.5167,
371,Hastings,GB,48.07,few clouds,50.8552,0.5729,
372,Gallipoli,TR,66.06,broken clouds,40.4103,26.6708,
374,Goderich,CA,39.9,broken clouds,43.7501,-81.7165,
375,Yangambi,CD,76.24,light rain,0.8102,24.4336,
376,Grindavik,IS,46.87,light rain,63.8424,-22.4338,
377,Kenai,US,35.15,broken clouds,60.5544,-151.2583,
378,Spearfish,US,51.12,clear sky,44.4908,-103.8594,
379,Northam,GB,46.62,scattered clouds,51.0333,-4.2167,
381,Imbituba,BR,71.04,broken clouds,-28.24,-48.6703,
382,Orje,NO,38.14,scattered clouds,59.4802,11.6602,
383,Port Hardy,CA,42.8,broken clouds,50.6996,-127.4199,
384,Kavaratti,IN,83.19,scattered clouds,10.5669,72.642,
385,Grand-Santi,GF,82.24,broken clouds,4.25,-54.3833,
386,Bogo,PH,77.32,light rain,11.0517,124.0055,
387,Lewiston,US,46.85,few clouds,44.1003,-70.2148,
388,Naze,JP,61.72,overcast clouds,28.3667,129.4833,
389,Khasan,RU,38.35,clear sky,42.4308,130.6434,
392,Puerto Madryn,AR,80.53,broken clouds,-42.7692,-65.0385,
393,Dryden,CA,35.89,overcast clouds,49.7833,-92.7503,
394,Kruisfontein,ZA,61.88,light rain,-34.0033,24.7314,
395,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,
396,Benghazi,LY,65.77,overcast clouds,32.1167,20.0667,
397,Tual,ID,82.18,broken clouds,-5.6667,132.75,
399,Opelousas,US,74.88,clear sky,30.5335,-92.0815,
400,Viedma,AR,76.62,clear sky,-40.8135,-62.9967,
401,Oyon,PE,55.11,overcast clouds,-10.6681,-76.7731,
402,Chapleau,CA,35.69,overcast clouds,47.8405,-83.4034,
403,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,
404,Kamaishi,JP,37.24,clear sky,39.2667,141.8833,
405,Kailua,US,75.18,scattered clouds,21.4022,-157.7394,
406,Dunedin,NZ,53.8,scattered clouds,-45.8742,170.5036,
407,Vila,PT,50.88,clear sky,42.0304,-8.1588,
408,Viseu,PT,58.73,clear sky,40.661,-7.9097,
409,Terre Haute,US,50.25,clear sky,39.4667,-87.4139,
410,Rawson,AR,79.23,broken clouds,-43.3002,-65.1023,
411,Axim,GH,83.86,light rain,4.8699,-2.2405,
412,North Bend,US,50.16,scattered clouds,43.4065,-124.2243,
413,Te Anau,NZ,47.08,few clouds,-45.4167,167.7167,
414,Balykshi,KZ,62.6,smoke,47.0667,51.8667,
415,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,
416,Santa Maria Del Oro,MX,73.04,clear sky,25.9333,-105.3667,
417,Jorpeland,NO,41.74,broken clouds,59.0225,6.0408,
418,Rio Gallegos,AR,50.05,light rain,-51.6226,-69.2181,
419,Kuala Terengganu,MY,78.75,scattered clouds,5.3302,103.1408,
420,Russell,US,63.91,broken clouds,32.3502,-85.1999,
421,Esperance,AU,66.04,clear sky,-33.8667,121.9,
422,Talara,PE,84.96,clear sky,-4.5772,-81.2719,
423,Prescott,US,65.3,clear sky,34.54,-112.4685,
424,Eyl,SO,80.06,few clouds,7.9803,49.8164,
426,Namibe,AO,72.25,overcast clouds,-15.1961,12.1522,
427,Laguna,US,67.17,clear sky,38.421,-121.4238,
428,Pindamonhangaba,BR,78.55,broken clouds,-22.9239,-45.4617,
429,Wana,PK,70.38,clear sky,32.2989,69.5725,
430,Shieli,KZ,59.95,clear sky,44.1667,66.75,
431,Maniitsoq,GL,32.54,overcast clouds,65.4167,-52.9,
433,Tyukalinsk,RU,30.42,snow,55.8732,72.1967,
434,Lingyuan,CN,43.3,clear sky,41.24,119.4011,
435,Jalu,LY,80.56,overcast clouds,29.0331,21.5482,
438,Marsaxlokk,MT,59.61,few clouds,35.8419,14.5431,
439,Gongzhuling,CN,40.23,clear sky,43.5008,124.8198,
440,Metaxades,GR,57.87,clear sky,41.4204,26.225,
441,Hobyo,SO,81.95,scattered clouds,5.3505,48.5268,
442,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,
443,Nichinan,JP,50.54,overcast clouds,31.6,131.3667,
445,Vestmannaeyjar,IS,45.59,moderate rain,63.4427,-20.2734,
446,Hanzhong,CN,55.02,scattered clouds,33.0728,107.0303,
447,Corn Island,NI,80.92,overcast clouds,12.1694,-83.0418,
448,Carlagan,PH,79.66,broken clouds,14.975,122.0456,
449,Zhezkazgan,KZ,48.92,few clouds,47.8043,67.7144,
450,Sarakhs,IR,68.0,clear sky,36.5449,61.1577,
451,Antalaha,MG,76.06,broken clouds,-14.9003,50.2788,
452,Portland,US,50.99,overcast clouds,45.5234,-122.6762,
453,Stornoway,GB,46.92,broken clouds,58.2093,-6.3865,
454,Ostersund,SE,32.61,few clouds,63.1792,14.6357,
455,Sao Gabriel Da Cachoeira,BR,78.06,overcast clouds,-0.1303,-67.0892,
456,Bako,ET,71.98,overcast clouds,5.7833,36.5667,
457,Crateus,BR,86.61,broken clouds,-5.1783,-40.6775,
458,Tulsa,US,63.84,clear sky,36.1001,-95.9003,
459,Seybaplaya,MX,88.56,few clouds,19.65,-90.6667,
460,Hasaki,JP,46.8,light rain,35.7333,140.8333,
461,Krumovgrad,BG,58.05,clear sky,41.4667,25.65,
463,Calama,CL,72.09,clear sky,-22.4667,-68.9333,
464,Port Augusta,AU,60.82,overcast clouds,-32.5,137.7667,
465,Virginia Beach,US,55.44,few clouds,36.8529,-75.978,
467,Amritsar,IN,85.82,clear sky,31.6331,74.8656,
468,Pallasovka,RU,59.45,light rain,50.05,46.8833,
469,Zadar,HR,54.21,scattered clouds,44.1197,15.2422,
470,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,
471,Auburn,US,50.0,overcast clouds,47.3073,-122.2284,
472,Reshetylivka,UA,49.39,overcast clouds,49.565,34.0782,
473,Oktyabrskiy,RU,37.99,overcast clouds,54.4815,53.471,
474,Faya,SA,71.71,clear sky,18.3851,42.4509,
475,Itoman,JP,64.42,overcast clouds,26.1247,127.6694,
476,Fez,MA,70.05,broken clouds,34.0372,-4.9998,
478,Codrington,AU,54.23,light rain,-38.2667,141.9667,
479,Sanchazi,CN,32.25,clear sky,42.0817,126.6003,
480,Ouro Preto Do Oeste,BR,78.08,broken clouds,-10.7481,-62.2158,
481,Erzin,TR,67.24,clear sky,36.9559,36.2,
483,Dixon,US,66.15,clear sky,38.4455,-121.8233,
484,Weihe,CN,47.98,broken clouds,32.9952,105.3247,
485,Malbork,PL,36.88,broken clouds,54.0359,19.0266,
486,Huarmey,PE,75.43,broken clouds,-10.0681,-78.1522,
487,Marevo,RU,30.0,overcast clouds,57.3146,32.0804,
488,Dargaville,NZ,61.95,overcast clouds,-35.9333,173.8833,
489,Turbat,PK,84.13,clear sky,26.0023,63.044,
490,Manjacaze,MZ,78.44,scattered clouds,-24.7117,33.8828,
491,Dingtao,CN,47.19,clear sky,35.0683,115.5625,
492,Brae,GB,41.43,overcast clouds,60.3964,-1.353,
493,Surt,LY,67.87,overcast clouds,31.2089,16.5887,
494,Alyangula,AU,73.27,overcast clouds,-13.8483,136.4192,
495,Yulara,AU,64.24,clear sky,-25.2406,130.9889,
497,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,
498,Berbera,SO,81.28,clear sky,10.4396,45.0143,
499,Palotina,BR,72.99,overcast clouds,-24.2839,-53.84,
500,Poum,NC,81.73,overcast clouds,-20.2333,164.0167,
501,Kermanshah,IR,67.1,clear sky,34.3142,47.065,
502,Mglin,RU,31.93,light snow,53.0591,32.8475,
503,Kattivakkam,IN,84.29,clear sky,13.2167,80.3167,
504,Vanimo,PG,77.04,moderate rain,-2.6741,141.3028,
505,Skorodnoye,RU,54.37,broken clouds,51.071,37.2276,
506,San Patricio,US,79.07,overcast clouds,28.017,-97.5169,
508,Prince Rupert,CA,42.89,light rain,54.3161,-130.3201,
509,Hervey Bay,AU,69.03,clear sky,-25.2986,152.8535,
