City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kapaa,US,2022-03-31 18:53:40,22.0752,-159.319,78.19,84,12,5.99
67,The Valley,AI,2022-03-31 18:53:40,18.217,-63.0578,84.06,61,20,20.71
68,Mitu,CO,2022-03-31 18:53:40,1.1983,-70.1733,88.75,52,43,2.71
69,Libertad,PH,2022-03-31 18:53:41,8.9442,125.5019,74.35,91,100,1.9
70,Vaitape,PF,2022-03-31 18:53:41,-16.5167,-151.75,82.36,66,20,15.32
71,Mudon,MM,2022-03-31 18:53:41,16.2578,97.7164,79.66,76,62,4.05
72,Butaritari,KI,2022-03-31 18:53:42,3.0707,172.7902,80.94,79,31,14.07
73,Longyearbyen,SJ,2022-03-31 18:53:42,78.2186,15.6401,8.44,85,75,9.22
74,Mahebourg,MU,2022-03-31 18:53:42,-20.4081,57.7,79.25,73,40,18.41
75,Buraydah,SA,2022-03-31 18:53:43,26.326,43.975,79.25,14,0,4.74
76,Kruisfontein,ZA,2022-03-31 18:53:43,-34.0033,24.7314,64.89,79,100,5.12
77,Lebu,CL,2022-03-31 18:53:43,-37.6167,-73.65,56.05,66,95,21.85
78,Avera,US,2022-03-31 18:53:44,33.194,-82.5271,72.55,70,92,12.3
79,Hobart,AU,2022-03-31 18:53:44,-42.8794,147.3294,53.46,74,100,6.91
80,Nanortalik,GL,2022-03-31 18:53:44,60.1432,-45.2371,37.69,87,100,4.61
81,Souillac,MU,2022-03-31 18:53:45,-20.5167,57.5167,79.18,73,40,18.41
82,Bubaque,GW,2022-03-31 18:53:45,11.2833,-15.8333,75.69,75,51,13.4
83,Barrow,US,2022-03-31 18:53:45,71.2906,-156.7887,-17.75,96,27,18.72
84,Gat,IL,2022-03-31 18:53:46,31.61,34.7642,71.4,60,51,3.44
85,Codrington,AU,2022-03-31 18:53:46,-38.2667,141.9667,59.43,59,88,13.89
86,Straumen,NO,2022-03-31 18:53:46,63.8709,11.2999,32.0,77,100,1.45
87,Castellammare Del Golfo,IT,2022-03-31 18:53:47,38.0188,12.8858,60.12,90,56,8.39
88,Nyurba,RU,2022-03-31 18:53:47,63.2842,118.3319,28.78,97,100,7.38
89,Paraiso,CR,2022-03-31 18:53:47,9.8383,-83.8656,79.66,48,80,4.52
90,Kahului,US,2022-03-31 18:53:06,20.8947,-156.47,78.82,73,20,12.66
91,Havoysund,NO,2022-03-31 18:53:48,70.9963,24.6622,28.63,67,100,9.06
92,Torbay,CA,2022-03-31 18:51:39,47.6666,-52.7314,41.29,70,75,13.8
93,Faanui,PF,2022-03-31 18:54:48,-16.4833,-151.75,82.35,66,21,15.32
94,Rosarito,MX,2022-03-31 18:54:49,32.3333,-117.0333,61.48,76,100,8.72
95,Izberbash,RU,2022-03-31 18:54:49,42.5696,47.8645,41.05,70,100,10.4
96,Barkot,IN,2022-03-31 18:54:49,30.8167,78.2,59.52,28,0,5.79
97,Khatanga,RU,2022-03-31 18:54:50,71.9667,102.5,-4.4,100,84,5.5
98,Kabo,CF,2022-03-31 18:54:50,7.6994,18.629,87.21,23,12,4.61
99,Amuntai,ID,2022-03-31 18:54:50,-2.4177,115.2494,74.7,94,93,1.57
100,Constitucion,CL,2022-03-31 18:54:51,-35.3333,-72.4167,66.51,46,0,16.67
101,Cabra,ES,2022-03-31 18:54:51,37.4725,-4.4421,51.66,85,80,1.01
102,Port Macquarie,AU,2022-03-31 18:54:51,-31.4333,152.9167,61.9,82,100,18.34
103,Kaitangata,NZ,2022-03-31 18:54:52,-46.2817,169.8464,46.24,74,100,4.23
104,San Pedro,PH,2022-03-31 18:54:52,14.35,121.0167,83.43,76,40,5.75
105,Walvis Bay,NA,2022-03-31 18:54:53,-22.9575,14.5053,67.15,72,0,4.61
106,Bethel,US,2022-03-31 18:54:53,41.3712,-73.414,62.78,85,100,4.0
107,Saskylakh,RU,2022-03-31 18:54:53,71.9167,114.0833,3.76,97,100,6.31
108,Albany,US,2022-03-31 18:50:11,42.6001,-73.9662,59.31,82,100,8.37
109,Chumikan,RU,2022-03-31 18:54:54,54.7183,135.315,3.34,86,6,7.81
110,Nabire,ID,2022-03-31 18:54:54,-3.3667,135.4833,76.84,78,100,2.75
111,Cayenne,GF,2022-03-31 18:54:54,4.9333,-52.3333,86.04,12,75,13.8
112,Jamestown,US,2022-03-31 18:54:55,42.097,-79.2353,65.52,63,100,19.57
113,Smithers,CA,2022-03-31 18:51:35,54.7804,-127.1743,39.52,56,75,0.0
114,Tasiilaq,GL,2022-03-31 18:54:55,65.6145,-37.6368,34.32,98,100,6.2
115,Noyabrsk,RU,2022-03-31 18:54:56,63.1994,75.4507,11.44,90,17,15.41
116,Yozgat,TR,2022-03-31 18:54:56,39.5833,35.3333,50.36,50,100,4.94
117,Ternate,ID,2022-03-31 18:54:56,0.8,127.4,79.7,82,100,6.87
118,Angoche,MZ,2022-03-31 18:54:57,-16.2325,39.9086,79.38,77,59,4.85
119,Laguna,US,2022-03-31 18:54:57,38.421,-121.4238,64.15,60,0,4.0
120,College,US,2022-03-31 18:51:52,64.8569,-147.8028,21.79,32,5,1.01
121,Bredasdorp,ZA,2022-03-31 18:54:57,-34.5322,20.0403,62.49,62,49,6.17
122,Yangjiang,CN,2022-03-31 18:54:58,21.85,111.9667,71.92,89,72,4.92
123,Albanel,CA,2022-03-31 18:54:58,48.8832,-72.4487,32.14,100,100,13.8
124,Cape Town,ZA,2022-03-31 18:54:58,-33.9258,18.4232,64.27,74,20,18.41
125,Mizdah,LY,2022-03-31 18:54:59,31.4451,12.9801,72.01,22,0,20.02
126,Thompson,CA,2022-03-31 18:54:59,55.7435,-97.8558,39.36,35,75,9.22
127,Sabang,ID,2022-03-31 18:55:00,5.8933,95.3214,82.49,71,100,2.8
128,Hami,CN,2022-03-31 18:55:00,42.8,93.45,46.54,22,0,7.74
129,Karratha,AU,2022-03-31 18:55:00,-20.7377,116.8463,84.96,70,98,9.42
130,Puerto El Triunfo,SV,2022-03-31 18:55:01,13.2833,-88.55,87.06,56,100,11.5
131,Kodiak,US,2022-03-31 18:55:01,57.79,-152.4072,38.71,100,100,23.02
132,Pitimbu,BR,2022-03-31 18:55:01,-7.4706,-34.8086,84.79,71,99,11.23
133,Gravdal,NO,2022-03-31 18:55:02,68.1214,13.5031,24.69,80,20,4.61
134,Luderitz,NA,2022-03-31 18:55:03,-26.6481,15.1594,63.63,70,0,21.85
135,Victoria,HK,2022-03-31 18:52:55,22.2855,114.1577,73.18,86,100,20.0
136,Hovd,MN,2022-03-31 18:56:03,48.0056,91.6419,29.1,33,0,1.5
137,Fairbanks,US,2022-03-31 18:55:40,64.8378,-147.7164,21.81,33,0,14.97
138,Marrakesh,MA,2022-03-31 18:56:04,31.6315,-8.0083,68.07,40,20,6.91
139,Kidal,ML,2022-03-31 18:56:05,18.4411,1.4078,89.73,3,95,8.7
140,Tessalit,ML,2022-03-31 18:56:05,20.1986,1.0114,89.02,4,88,8.68
141,Bollnas,SE,2022-03-31 18:56:05,61.3482,16.3946,22.32,93,61,0.85
142,Castro,BR,2022-03-31 18:56:06,-24.7911,-50.0119,57.69,98,100,7.58
143,Adamas,GR,2022-03-31 18:56:06,36.7333,24.4333,61.21,76,100,14.97
144,Teya,RU,2022-03-31 18:56:07,60.3778,92.6267,24.53,81,100,10.71
145,Mana,GF,2022-03-31 18:56:07,5.6592,-53.7767,80.89,70,63,10.31
146,Sobolevo,RU,2022-03-31 18:56:08,54.4299,31.8996,31.01,97,100,8.43
147,Anadyr,RU,2022-03-31 18:56:08,64.75,177.4833,7.3,84,75,17.9
148,Nhulunbuy,AU,2022-03-31 18:56:09,-12.2333,136.7667,75.81,88,16,1.14
149,Aswan,EG,2022-03-31 18:56:09,24.0934,32.907,87.1,8,0,9.22
150,Nome,US,2022-03-31 18:56:09,64.5011,-165.4064,27.16,65,100,15.99
151,Upernavik,GL,2022-03-31 18:56:10,72.7868,-56.1549,17.71,96,100,11.56
152,Arraial Do Cabo,BR,2022-03-31 18:56:10,-22.9661,-42.0278,84.16,78,20,14.97
153,Olafsvik,IS,2022-03-31 18:56:11,64.8945,-23.7142,39.65,82,100,7.31
154,Baruun-Urt,MN,2022-03-31 18:56:11,46.6806,113.2792,25.41,32,100,7.4
155,Cidreira,BR,2022-03-31 18:56:14,-30.1811,-50.2056,65.61,53,84,9.46
156,Tucuman,AR,2022-03-31 18:56:14,-26.8241,-65.2226,66.2,27,20,4.61
157,Viedma,AR,2022-03-31 18:53:16,-40.8135,-62.9967,72.63,14,1,16.31
158,East London,ZA,2022-03-31 18:56:14,-33.0153,27.9116,67.14,94,75,8.05
159,Carnarvon,AU,2022-03-31 18:56:15,-24.8667,113.6333,71.67,100,75,17.27
160,Saint-Georges,GD,2022-03-31 18:56:15,12.0564,-61.7485,83.88,65,20,17.27
161,Hamilton,US,2022-03-31 18:56:15,39.1834,-84.5333,47.07,72,100,5.99
162,Chalakudi,IN,2022-03-31 18:56:16,10.304,76.3361,80.51,94,40,2.3
163,Lodwar,KE,2022-03-31 18:56:16,3.1191,35.5973,85.82,45,4,20.83
164,Anloga,GH,2022-03-31 18:56:17,5.7947,0.8973,83.21,83,99,15.39
165,Hay River,CA,2022-03-31 18:53:47,60.8156,-115.7999,15.78,79,100,17.27
