City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Constitucion,CL,2022-04-02 16:40:50,-35.3333,-72.4167,65.57,60,3,11.61,clear sky
60,Hithadhoo,MV,2022-04-02 16:40:50,-0.6,73.0833,83.32,68,16,4.47,few clouds
61,Mareeba,AU,2022-04-02 16:40:50,-17.0,145.4333,68.72,98,96,2.06,overcast clouds
62,Desur,IN,2022-04-02 16:40:51,12.4333,79.4833,79.74,81,37,5.32,scattered clouds
63,Kalemie,CD,2022-04-02 16:40:51,-5.9475,29.1947,74.66,82,100,6.49,overcast clouds
64,Dikson,RU,2022-04-02 16:40:51,73.5069,80.5464,-5.46,100,95,7.52,overcast clouds
65,Torres,BR,2022-04-02 16:40:51,-29.3353,-49.7269,70.48,71,43,8.32,scattered clouds
66,Bredasdorp,ZA,2022-04-02 16:40:52,-34.5322,20.0403,62.62,69,87,14.41,light rain
67,Ludvika,SE,2022-04-02 16:40:52,60.1496,15.1878,40.77,52,50,7.2,scattered clouds
68,Walvis Bay,NA,2022-04-02 16:40:52,-22.9575,14.5053,59.09,75,15,12.08,few clouds
69,Atuona,PF,2022-04-02 16:40:53,-9.8,-139.0333,78.67,75,6,15.12,clear sky
70,Cayenne,GF,2022-04-02 16:40:24,4.9333,-52.3333,80.1,1,75,6.91,moderate rain
71,Chuy,UY,2022-04-02 16:40:53,-33.6971,-53.4616,69.01,57,49,7.16,scattered clouds
72,Rio Grande,BR,2022-04-02 16:40:53,-32.035,-52.0986,77.11,56,1,10.63,clear sky
73,Chipata,ZM,2022-04-02 16:40:54,-13.6333,32.65,65.55,94,54,3.85,light rain
74,Airai,TL,2022-04-02 16:40:54,-8.9266,125.4092,57.52,83,19,1.39,few clouds
75,Cabedelo,BR,2022-04-02 16:40:55,-6.9811,-34.8339,88.47,70,83,13.44,broken clouds
76,Dangara,IN,2022-04-02 16:40:56,29.6799,75.8931,81.54,7,0,5.48,clear sky
77,Saraland,US,2022-04-02 16:40:56,30.8207,-88.0706,69.42,50,86,5.84,overcast clouds
78,Murgab,TM,2022-04-02 16:40:57,37.4966,61.9714,69.67,40,100,6.91,overcast clouds
79,Victoria,HK,2022-04-02 16:36:50,22.2855,114.1577,61.32,68,100,4.0,overcast clouds
